ensemble_id,uniprot_id
ENSG00000164399,P08700
ENSG00000164400,P04141
ENSG00000072682,O15460
ENSG00000197208,Q9H015
ENSG00000197375,O76082
ENSG00000113525,P05113
ENSG00000169194,P35225
ENSG00000164405,O14949
ENSG00000213585,P21796
ENSG00000113558,P63208
ENSG00000113575,P67775
ENSG00000152700,Q9Y6B6
ENSG00000164615,P49069
ENSG00000170482,Q9UHI7
ENSG00000131508,P62837
ENSG00000131495,O43678
ENSG00000170445,P12081
ENSG00000120329,Q9BXI2
ENSG00000171720,O15379
ENSG00000113552,P46926
ENSG00000113578,P05230
ENSG00000113580,P04150
ENSG00000133706,Q9P2J5
ENSG00000178172,Q6UWN8
ENSG00000164270,Q13639
ENSG00000169252,P07550
ENSG00000132915,P16499
ENSG00000182578,P07333
ENSG00000113721,P09619
ENSG00000011083,Q99884
ENSG00000070808,Q9UQM7
ENSG00000070614,P52848
ENSG00000211445,P22352
ENSG00000196743,P17900
ENSG00000123643,Q7Z2H8
ENSG00000177556,O00244
ENSG00000145888,P23415
ENSG00000155511,P42261
ENSG00000113263,Q08881
ENSG00000113302,P29460
ENSG00000170214,P35368
ENSG00000170231,P51161
ENSG00000145864,P47870
ENSG00000145863,Q16445
ENSG00000022355,P14867
ENSG00000113327,P18507
ENSG00000072571,O75330
ENSG00000145936,Q16558
ENSG00000094755,O00591
ENSG00000037241,Q9UNX3
ENSG00000184845,P21728
ENSG00000113749,P25021
ENSG00000160867,P22455
ENSG00000131187,P00748
ENSG00000175309,Q8IUZ5
ENSG00000127022,P27824
ENSG00000213316,Q16873
ENSG00000050748,P45984
ENSG00000037280,P35916
ENSG00000131446,P26572
ENSG00000112699,O60547
ENSG00000124570,P35237
ENSG00000124588,P16083
ENSG00000137274,Q86WA6
ENSG00000137267,Q13885
ENSG00000137285,Q9BVA1
ENSG00000198721,O75521
ENSG00000145982,O95363
ENSG00000124491,P00488
ENSG00000078401,P05305
ENSG00000124523,Q9NXA8
ENSG00000137198,P36959
ENSG00000137364,P51580
ENSG00000112294,P51649
ENSG00000112304,Q9NPJ3
ENSG00000198704,P59796
ENSG00000196126,P04229
ENSG00000096433,Q14573
ENSG00000124493,Q14833
ENSG00000112033,Q03181
ENSG00000137392,P04118
ENSG00000112062,Q16539
ENSG00000156711,O15264
ENSG00000137193,P11309
ENSG00000124767,Q04760
ENSG00000112164,P43220
ENSG00000124731,Q9NP99
ENSG00000048545,P43080
ENSG00000124713,Q14749
ENSG00000137204,Q9Y694
ENSG00000112715,P15692
ENSG00000112759,Q99808
ENSG00000096384,P08238
ENSG00000124608,Q5JTZ9
ENSG00000146070,Q13093
ENSG00000153292,Q5T601
ENSG00000146085,P22033
ENSG00000112115,Q16552
ENSG00000244067,P09210
ENSG00000243955,P08263
ENSG00000182793,Q7RTV2
ENSG00000174156,Q16772
ENSG00000170899,O15217
ENSG00000001084,P48506
ENSG00000137252,O43614
ENSG00000146166,Q5TDP6
ENSG00000185760,Q9NR82
ENSG00000156508,P68104
ENSG00000135312,P28222
ENSG00000118402,Q9GZR5
ENSG00000112742,P33981
ENSG00000065833,P48163
ENSG00000135318,P21589
ENSG00000168830,P28566
ENSG00000118432,P21554
ENSG00000111880,O60942
ENSG00000146276,P24046
ENSG00000111886,P28476
ENSG00000135333,Q15375
ENSG00000164418,Q13002
ENSG00000085377,P48147
ENSG00000112335,O60493
ENSG00000123505,P17707
ENSG00000010810,P06241
ENSG00000074935,Q9UJT0
ENSG00000196591,Q92769
ENSG00000111816,P42685
ENSG00000152661,P17302
ENSG00000118520,P05089
ENSG00000197594,P22413
ENSG00000146399,Q96RJ0
ENSG00000118515,O00141
ENSG00000171408,Q9NP56
ENSG00000027697,P15260
ENSG00000152822,Q13255
ENSG00000120265,P22061
ENSG00000009765,Q6PHW0
ENSG00000091831,P03372
ENSG00000112038,P35372
ENSG00000112096,P04179
ENSG00000120437,Q9BWD1
ENSG00000197081,P11717
ENSG00000198670,P08519
ENSG00000122194,P00747
ENSG00000112541,Q9Y233
ENSG00000130396,P55196
ENSG00000008018,P20618
ENSG00000122512,P54278
ENSG00000008256,O43739
ENSG00000136238,P63000
ENSG00000189043,O00483
ENSG00000106546,P35869
ENSG00000048052,Q9UKV0
ENSG00000004846,Q2M3G0
ENSG00000136244,P05231
ENSG00000122585,P01303
ENSG00000172115,P99999
ENSG00000106049,P31937
ENSG00000106105,P41250
ENSG00000240583,P29972
ENSG00000106128,Q02643
ENSG00000154678,Q14123
ENSG00000187258,Q6W5P4
ENSG00000006451,P11233
ENSG00000106588,P25787
ENSG00000106605,P53004
ENSG00000164708,P15259
ENSG00000106633,P35557
ENSG00000058404,Q13554
ENSG00000015520,Q9UHC9
ENSG00000105953,Q02218
ENSG00000196262,P62937
ENSG00000122679,O60896
ENSG00000164742,Q08828
ENSG00000146674,P17936
ENSG00000183696,Q16831
ENSG00000132437,P20711
ENSG00000146648,P00533
ENSG00000146733,P78330
ENSG00000196715,Q8N0U8
ENSG00000126522,P04424
ENSG00000049540,P15502
ENSG00000106683,P53667
ENSG00000158517,P14598
ENSG00000127948,P16435
ENSG00000146701,P40926
ENSG00000106211,P04792
ENSG00000127955,P63096
ENSG00000019991,P14210
ENSG00000153956,P54289
ENSG00000198822,Q14832
ENSG00000005469,Q9UKG9
ENSG00000085563,P08183
ENSG00000001630,Q16850
ENSG00000105810,Q00534
ENSG00000004948,P30988
ENSG00000164692,P08123
ENSG00000005421,P27169
ENSG00000004799,Q16654
ENSG00000004864,Q9UJS0
ENSG00000070669,P08243
ENSG00000130429,O15143
ENSG00000106258,P20815
ENSG00000160868,P08684
ENSG00000160862,P25311
ENSG00000196411,P54760
ENSG00000087085,P22303
ENSG00000106366,P05121
ENSG00000106397,O60568
ENSG00000135250,P78362
ENSG00000105835,P43490
ENSG00000105851,P48736
ENSG00000005249,P31323
ENSG00000091140,P09622
ENSG00000105976,P08581
ENSG00000001626,P13569
ENSG00000184408,Q9NZV8
ENSG00000008311,Q9UDR5
ENSG00000081800,Q9BZW2
ENSG00000128609,Q16718
ENSG00000179603,O00222
ENSG00000106348,P20839
ENSG00000128602,Q99835
ENSG00000091704,P15085
ENSG00000085662,P15121
ENSG00000198074,O60218
ENSG00000181072,P08172
ENSG00000122787,P51857
ENSG00000059377,P24557
ENSG00000090266,O95178
ENSG00000157764,P15056
ENSG00000257335,O43451
ENSG00000204983,P07477
ENSG00000197448,Q9Y2Q3
ENSG00000196511,Q9H3S4
ENSG00000002726,P19801
ENSG00000055118,Q12809
ENSG00000164867,P29474
ENSG00000213199,Q9UHC3
ENSG00000164885,Q00535
ENSG00000106615,Q15382
ENSG00000106617,Q9UGJ0
ENSG00000157219,P47898
ENSG00000164778,P19622
ENSG00000198223,P15509
ENSG00000185291,P26951
ENSG00000169100,P12236
ENSG00000196433,P46597
ENSG00000101846,P08842
ENSG00000196664,Q9NYK1
ENSG00000101916,Q9NR97
ENSG00000123595,P51151
ENSG00000101958,P23416
ENSG00000130234,Q9BYF1
ENSG00000169239,Q9Y2D0
ENSG00000169906,P29377
ENSG00000131828,P08559
ENSG00000177189,P51812
ENSG00000102172,P52788
ENSG00000130066,P21673
ENSG00000130741,P41091
ENSG00000067992,Q15120
ENSG00000102230,Q9Y5K3
ENSG00000101868,P09884
ENSG00000169297,P51843
ENSG00000165168,P04839
ENSG00000036473,P00480
ENSG00000147044,O14936
ENSG00000189221,P21397
ENSG00000069535,P27338
ENSG00000130985,P22314
ENSG00000102225,Q00536
ENSG00000078061,P10398
ENSG00000008056,P17600
ENSG00000147155,Q15125
ENSG00000015285,P42768
ENSG00000094631,Q9UBN7
ENSG00000102057,Q9NSA2
ENSG00000102001,O60840
ENSG00000072506,Q99714
ENSG00000158571,P16118
ENSG00000158578,P22557
ENSG00000169083,P10275
ENSG00000165349,Q8WY07
ENSG00000147168,P31785
ENSG00000147099,Q9BY41
ENSG00000147100,P36021
ENSG00000131174,P24311
ENSG00000102144,P00558
ENSG00000173198,Q9Y271
ENSG00000102362,Q96C24
ENSG00000010671,Q06187
ENSG00000102393,P06280
ENSG00000068366,O60488
ENSG00000147246,P28335
ENSG00000123496,Q14627
ENSG00000180772,P50052
ENSG00000101856,O00264
ENSG00000005022,P05141
ENSG00000125356,O15239
ENSG00000182890,P49448
ENSG00000125675,P42263
ENSG00000101966,P98170
ENSG00000156709,O95831
ENSG00000147262,Q8TDV5
ENSG00000165675,Q16206
ENSG00000134602,Q9P289
ENSG00000165704,P00492
ENSG00000101981,P00740
ENSG00000102287,P78334
ENSG00000011677,P34903
ENSG00000147383,Q15738
ENSG00000130821,P48029
ENSG00000067829,P51553
ENSG00000126895,P30518
ENSG00000102032,P51606
ENSG00000160211,P11413
ENSG00000185010,P00451
ENSG00000185973,Q9NVH6
ENSG00000175806,Q9UJ68
ENSG00000079459,P37268
ENSG00000164733,P07858
ENSG00000003989,P52569
ENSG00000175445,P06858
ENSG00000036565,P54219
ENSG00000147416,P21281
ENSG00000120889,O14763
ENSG00000042980,Q9UKQ2
ENSG00000221914,P63151
ENSG00000120907,P35348
ENSG00000015592,Q9H169
ENSG00000120899,Q14289
ENSG00000120903,Q15822
ENSG00000120915,P34913
ENSG00000104687,P00390
ENSG00000104695,P62714
ENSG00000147471,O94903
ENSG00000188778,P13945
